job_title,practice_name,location
"After-hours Veterinary Surgeon","608 Vet Practice Solihull","608 Warwick Road, Solihull"
"Applications Engineer","N/A","First Floor, Friars Gate, 1011 Stratford Rd, Shirley, Solihull"
"Applications Lead","N/A","First Floor, Friars Gate, 1011 Stratford Rd, Shirley, Solihull"
"Branch Clinical Director","Park Vet Group Whetstone","82 -84 High Street, Whetstone, Leicestershire"
"Business Relationship Manager","Veterinary Specialists Scotland","1 Deer Park Road, Livingston, Scotland"
"Cardiology Specialist","London Vet Specialists","70 Chancellors Road, Hammersmith, London"
"Client Care Assistant","Forest Vets Epping Hospital","Hemnall Street, Epping, Essex"
"Client Care Manager","Bay Vets Lancaster","Baldrand House, Bowerham Rd, Lancaster"
"Client Experience Team Member","DWR","Station Farm, London Road, Six Mile Bottom, Cambridgeshire"
"Clinical Director","The Barn Animal Practice","Paynes Meadow, Lychpit, Basingstoke"
"Clinical Director","Cromwell Veterinary Group Huntingdon","36 St Johns Street, Huntingdon, Cambridgeshire"
"Clinical Director","Riversmeet Vets Atherstone","Station House, Long Street, Atherstone, Warwickshire"
"Clinical Director","Broadway Veterinary Surgery Bebington","100 Kings Lane, Higher Bebington, Wirral"
"Clinical Director","Park Vet Group Glenfield","162 Dominion Road, Glenfield, Leicestershire"
"Clinical Director","Woodward Veterinary Practice","Ivanhoe Business Park, Smisby Road, Ashby-De-La-Zouch, Leicestershire"
"Clinical Nurse Manager","Forest Vets Harlow Surgery","Eastwick Lodge Farmhouse, Harlow, Essex"
"Clinical Nurse Manager RVN Referral","West Midlands Referrals","Errisbeg House, Barton Turn, Barton Under Needwood, Burton On Trent, Staffordshire"
"Clinician in Cardiology","Paragon Veterinary Referrals","Unit 18b, Paragon Business Park, Red Hall Crescent, Wakefield"
"Clinician in Dentistry","Wear Referrals","Bradbury, Stockton-on-Tees, Durham"
"Consultant in Diagnostic Imaging","Southfields Veterinary Specialists","Cranes Point, Gardiners Lane South, Basildon, Essex"
"Dermatology Specialist","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Fixed Term Contract Twilight Patient Care Assistant","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Flexi Registered Veterinary Nurse","Davies Veterinary Specialists","Manor Farm Business Park, Higham Gobion, Herts"
"Head of Medical Oncology","Southfields Veterinary Specialists","Cranes Point, Gardiners Lane South, Basildon, Essex"
"Hospital Director","DWR","Station Farm, London Road, Six Mile Bottom, Cambridgeshire"
"ICU Registered Veterinary Nurse","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Imaging clinician","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Internal Medicine Intern","Paragon Veterinary Referrals","Unit 18b, Paragon Business Park, Red Hall Crescent, Wakefield"
"Internal Medicine Specialist","London Vet Specialists","70 Chancellors Road, Hammersmith, London"
"Lead Clinical Director - (Small Animal)","Hawick Veterinary Practice","1 Earl Street, Hawick, Roxburghshire"
"Lead Nurse","Kings Veterinary Centre Melton Mowbray","1-3 Kings Road, Melton Mowbray, Leicestershire"
"Lead Nurse","Rutland Veterinary Centre Uppingham","12a Ayston Road, Uppingham, Rutland"
"Lead Nurse","Rutland Veterinary Centre Oakham","Maresfield Road, Barleythorpe, Oakham, Rutland"
"Lead Registered Veterinary Nurse","Veterinary Specialists Scotland","1 Deer Park Road, Livingston, Scotland"
"Lead Registered Veterinary Nurse - 24hrs hospital","Village Vet (Milton)","26A Cambridge Road, Milton, Cambridge"
"Lead Surgical Nurse","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Lead Surgical Registered Veterinary Nurse - Fixed Term Contract","Wicstun Veterinary Group Market Weighton Hospital","Cavendish Drive, Holme Road, Market Weighton"
"Lead Twilight Registered Veterinary Nurse","Eastcott Veterinary Referrals","Edison Business Park, Hindle Way, Off Dorcan Way, Swindon, Wiltshire"
"Lead Veterinary Nurse at Oldbury","Blacks Vets Oldbury","152-154 Causeway Green Road, Oldbury, West Midlands"
"Lead Veterinary Surgeon","Animal Ark Veterinary Centre","54 Goodmayes Avenue, Goodmayes, Ilford, Essex"
"Lead Veterinary Surgeon","Kings Veterinary Centre Melton Mowbray","1-3 Kings Road, Melton Mowbray, Leicestershire"
"Lead Veterinary Surgeon","Park Vet Group Glenfield","162 Dominion Road, Glenfield, Leicestershire"
"Mixed Veterinary Surgeon","Hawick Veterinary Practice","1 Earl Street, Hawick, Roxburghshire"
"Multi Disciplinary Registered Veterinary Nurse","Calder Vets Dewsbury","Savile Road, Dewsbury, West Yorkshire"
"Multi-disciplinary RVN - Wards","DWR","Station Farm, London Road, Six Mile Bottom, Cambridgeshire"
"Multi-disciplinary Registered Veterinary Nurse","Veterinary Specialists Scotland","1 Deer Park Road, Livingston, Scotland"
"Multi-disciplinary Registered Veterinary Nurse - Procedures","DWR","Station Farm, London Road, Six Mile Bottom, Cambridgeshire"
"Multidisciplinary RVN","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Multidisciplinary Registered Veterinary Nurse","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Multidisciplinary Registered Veterinary Nurse","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Multidisciplinary Registered Veterinary Nurse - 12 months Fixed Term Contract","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Neurology Clinician","DWR","Station Farm, London Road, Six Mile Bottom, Cambridgeshire"
"Neurology Specialist - Fixed Term Contract","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Night Nurse","Kings Veterinary Centre Melton Mowbray","1-3 Kings Road, Melton Mowbray, Leicestershire"
"Night RVN","Veterinary Specialists Scotland","1 Deer Park Road, Livingston, Scotland"
